Num,Time,Accelx,Accely,Accelz,Gyrox,Gyroy,Gyroz
24931, 15:55:10, 25701, 2573, 25427, 29472, 24948, 29810 
 24427, 15:55:19, -796, 642, -7905, -7, 3, 0 
 24429, 15:55:19, -773, 652, -7905, -8, 4, 1 
 24433, 15:55:19, -795, 661, -7906, -6, 2, 0 
 24434, 15:55:19, -783, 640, -7906, -5, 2, 0 
 24436, 15:55:19, -790, 664, -7901, -6, 2, 2 
 24438, 15:55:19, -783, 657, -7923, -7, 2, 1 
 24439, 15:55:19, -774, 659, -7898, -6, 3, 0 
 24440, 15:55:19, -786, 648, -7908, -6, 3, -1 
 24445, 15:55:19, -769, 648, -7910, -5, 1, 1 
 24446, 15:55:19, -770, 651, -7888, -5, 2, 0 
 24449, 15:55:19, -794, 650, -7899, -8, 2, 0 
 24456, 15:55:19, -769, 656, -7917, -6, 2, -1 
 24462, 15:55:19, -796, 654, -7910, -5, 2, 1 
 24466, 15:55:19, -796, 644, -7896, -4, 1, 0 
 24472, 15:55:19, -780, 654, -7914, -6, 1, 0 
 24476, 15:55:19, -781, 640, -7914, -5, 1, -1 
 24478, 15:55:19, -785, 647, -7910, -6, 0, -1 
 24479, 15:55:19, -776, 654, -7927, -4, 0, 1 
 24480, 15:55:19, -773, 658, -7914, -5, 0, 0 
 24482, 15:55:19, -779, 666, -7908, -5, 0, -1 
 24486, 15:55:19, -785, 658, -7888, -5, 1, -1 
 24489, 15:55:19, -783, 653, -7905, -4, 1, -1 
 24490, 15:55:19, -774, 636, -7903, -5, 1, 0 
 24496, 15:55:19, -796, 634, -7893, -5, 0, 0 
 24498, 15:55:19, -772, 644, -7902, -5, 1, -2 
 24500, 15:55:19, -808, 646, -7901, -3, 1, -1 
 24504, 15:55:19, -786, 644, -7905, -1, 0, -1 
 24505, 15:55:19, -782, 642, -7901, -1, -1, 0 
 24506, 15:55:19, -783, 638, -7903, -2, -2, 0 
 24507, 15:55:19, -780, 640, -7906, -2, -2, 0 
 24508, 15:55:19, -793, 634, -7922, -2, -1, -1 
 24511, 15:55:19, -785, 636, -7901, -2, -2, -1 
 24513, 15:55:20, -793, 641, -7891, -2, -1, -1 
 24514, 15:55:20, -797, 644, -7897, -3, -2, -1 
 24515, 15:55:20, -789, 649, -7918, -4, -3, -1 
 24516, 15:55:20, -785, 639, -7924, -2, -1, 0 
 24517, 15:55:20, -802, 646, -7917, -3, 0, 0 
 24518, 15:55:20, -790, 650, -7896, -4, -2, 0 
 24519, 15:55:20, -785, 632, -7875, -2, -1, 0 
 24520, 15:55:20, -787, 644, -7898, -2, -1, -1 
 24521, 15:55:20, -790, 639, -7901, -3, -1, -1 
 24523, 15:55:20, -796, 627, -7911, 0, -2, 0 
 24527, 15:55:20, -788, 641, -7905, -4, 2, 0 
 24528, 15:55:20, -794, 641, -7916, -4, 2, 0 
 24534, 15:55:20, -787, 626, -7907, -4, 1, -1 
 24536, 15:55:20, -784, 620, -7901, -2, 1, 0 
 24537, 15:55:20, -791, 631, -7898, -1, -1, 0 
 24538, 15:55:20, -793, 641, -7902, -1, -3, -1 
 24542, 15:55:20, -798, 640, -7895, -3, -1, 1 
 24543, 15:55:20, -802, 637, -7901, -3, 0, 0 
 24544, 15:55:20, -788, 631, -7897, -3, 1, 0 
 24546, 15:55:20, -807, 641, -7925, -4, -1, 1 
 24547, 15:55:20, -793, 620, -7906, -4, 0, 1 
 24548, 15:55:20, -788, 623, -7911, -6, 1, 0 
 24550, 15:55:20, -799, 641, -7903, -4, 2, 3 
 24551, 15:55:20, -789, 639, -7906, -5, 2, 1 
 24552, 15:55:20, -798, 640, -7898, -6, 1, 1 
 24556, 15:55:20, -797, 624, -7916, -5, 1, 0 
 24557, 15:55:20, -792, 634, -7909, -5, 0, 1 
 24558, 15:55:20, -792, 634, -7909, -5, 0, 1 
 24560, 15:55:20, -793, 633, -7898, -6, 1, 2 
 24561, 15:55:20, -798, 643, -7887, -4, 2, 0 
 24562, 15:55:20, -793, 629, -7899, -3, 2, 1 
 24563, 15:55:20, -779, 621, -7894, -5, 2, 1 
 24564, 15:55:20, -797, 632, -7921, -7, 3, 1 
 24566, 15:55:20, -790, 630, -7889, -7, 4, 2 
 24568, 15:55:20, -801, 628, -7917, -6, 1, 1 
 24569, 15:55:20, -815, 629, -7909, -8, 2, 1 
 24572, 15:55:20, -788, 642, -7915, -9, 2, 1 
 24573, 15:55:20, -826, 627, -7895, -8, 3, 1 
 24575, 15:55:20, -798, 630, -7894, -10, 5, 1 
 24578, 15:55:20, -808, 640, -7915, -10, 4, 1 
 24579, 15:55:20, -768, 644, -7897, -9, 6, 2 
 24582, 15:55:20, -788, 645, -7907, -7, 4, 2 
 24583, 15:55:20, -806, 629, -7912, -6, 3, 0 
 24584, 15:55:20, -792, 645, -7899, -7, 4, 1 
 24589, 15:55:20, -783, 638, -7902, -8, 6, 0 
 24590, 15:55:20, -799, 635, -7888, -7, 5, 1 
 24591, 15:55:20, -802, 641, -7890, -8, 5, 1 
 24592, 15:55:20, -800, 655, -7906, -7, 5, 0 
 24593, 15:55:20, -796, 651, -7906, -7, 5, 0 
 24595, 15:55:20, -789, 636, -7884, -6, 3, 0 
 24596, 15:55:20, -802, 642, -7901, -5, 3, 1 
 24601, 15:55:20, -802, 636, -7920, -6, 3, -1 
 24602, 15:55:20, -792, 638, -7906, -7, 5, 0 
 24603, 15:55:20, -787, 646, -7885, -4, 4, 0 
 24607, 15:55:20, -783, 629, -7892, -5, 3, -1 
 24608, 15:55:20, -798, 640, -7908, -6, 2, 0 
 24609, 15:55:20, -774, 643, -7915, -5, 3, 0 
 24610, 15:55:20, -782, 621, -7917, -6, 3, -1 
 24612, 15:55:21, -777, 640, -7903, -6, 3, 1 
 24614, 15:55:21, -815, 637, -7890, -7, 3, -1 
 24616, 15:55:21, -769, 631, -7895, -8, 3, 1 
 24618, 15:55:21, -794, 635, -7894, -8, 5, 1 
 24619, 15:55:21, -792, 641, -7903, -7, 4, 1 
 24622, 15:55:21, -791, 631, -7911, -9, 4, 1 
 24623, 15:55:21, -793, 619, -7899, -10, 4, 1 
 24626, 15:55:21, -789, 656, -7898, -10, 3, 2 
 24627, 15:55:21, -788, 652, -7883, -10, 1, 1 
 24629, 15:55:21, -797, 634, -7898, -10, 5, 1 
 24632, 15:55:21, -788, 636, -7907, -9, 4, 1 
 24633, 15:55:21, -777, 637, -7907, -9, 4, -1 
 24634, 15:55:21, -780, 643, -7901, -10, 3, 0 
 24636, 15:55:21, -777, 644, -7903, -12, 6, 1 
 24637, 15:55:21, -771, 651, -7922, -11, 7, 2 
 24639, 15:55:21, -794, 642, -7919, -12, 4, 2 
 24641, 15:55:21, -800, 634, -7907, -8, 3, 2 
 24642, 15:55:21, -782, 631, -7913, -10, 4, 0 
 24643, 15:55:21, -790, 649, -7897, -10, 4, 1 
 24644, 15:55:21, -785, 654, -7908, -9, 3, 1 
